# Isotope	Halflife	Daughter	Branching	Decay	Energy		Intensity	Observed
60Co27		5.2714 y	60Ni28		1		b	1173.237	99.9736		Al50b,Si16P
---		---		---		---		---	1332.501	99.9856		Al50b,Si16P
