#Element	Lf	Li	Energy		Intensity
H1
C6
O8
Al13		1s	2p	346.828
Si14		1s	2p	400.177
Fe26		1s(1/2)	2p(1/2)	1253.06		0.716
---		---	2p(3/2)	1257.19		---
---		---	3p	1522.3		0.075
---		---	4p	1615.3		0.027
---		---	5p	1658.2		0.016
---		---	6p	1681.7		0.022
---		---	7p	1695.7		0.02
---		---	8p	1704.7		0.012
---		2p	3d	
Pb82
